vessel_id,mmsi,vessel_name,flag_state,vessel_type,length_m,gross_ton,timestamp,date,lat,lon,lat_grid,lon_grid,speed_knots,heading_deg,nav_status,ais_gap_hours,label_suspicious
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-25 00:00:00,2023-02-25,4.5907,107.1797,4.5,107.25,8.8,93,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-25 03:25:42,2023-02-25,4.6936,107.3576,4.75,107.25,5.69,236,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-25 06:51:25,2023-02-25,4.3867,107.677,4.5,107.75,9.33,38,Fishing,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-25 10:17:08,2023-02-25,4.237,108.0648,4.25,108.0,8.79,281,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-25 13:42:51,2023-02-25,4.4729,108.0817,4.5,108.0,13.65,25,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-25 17:08:34,2023-02-25,4.824,108.0195,4.75,108.0,10.93,47,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-25 20:34:17,2023-02-25,4.953,108.3616,5.0,108.25,6.09,85,Fishing,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-26 00:00:00,2023-02-26,5.0903,108.6262,5.0,108.75,4.1,248,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-26 03:25:42,2023-02-26,4.8536,108.1164,4.75,108.0,7.83,109,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-26 06:51:25,2023-02-26,4.9971,108.492,5.0,108.5,8.69,30,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-26 10:17:08,2023-02-26,5.3228,108.147,5.25,108.25,4.24,194,Fishing,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-26 13:42:51,2023-02-26,5.3117,108.243,5.25,108.25,8.42,199,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-26 17:08:34,2023-02-26,4.8982,108.2207,5.0,108.25,5.24,232,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-26 20:34:17,2023-02-26,5.0322,108.3124,5.0,108.25,6.15,216,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-27 00:00:00,2023-02-27,4.9294,108.0476,5.0,108.0,8.34,79,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-27 03:25:42,2023-02-27,5.1204,107.8011,5.0,107.75,9.76,151,Fishing,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-27 06:51:25,2023-02-27,5.0144,107.6029,5.0,107.5,8.23,29,Fishing,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-27 10:17:08,2023-02-27,4.8073,107.4645,4.75,107.5,5.51,160,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-27 13:42:51,2023-02-27,5.2003,107.4733,5.25,107.5,6.75,25,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-27 17:08:34,2023-02-27,5.2431,107.4452,5.25,107.5,7.95,257,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-27 20:34:17,2023-02-27,5.3659,107.6346,5.25,107.75,7.17,29,Fishing,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-28 00:00:00,2023-02-28,5.2507,107.5658,5.25,107.5,2.75,95,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-28 03:25:42,2023-02-28,4.9477,107.9076,5.0,108.0,12.61,304,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-28 06:51:25,2023-02-28,4.8979,108.0517,5.0,108.0,9.28,345,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-28 10:17:08,2023-02-28,5.5137,108.3316,5.5,108.25,8.18,206,Fishing,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-28 13:42:51,2023-02-28,5.3226,107.93,5.25,108.0,9.01,291,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-28 17:08:34,2023-02-28,5.1713,107.5744,5.25,107.5,6.88,296,Fishing,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-02-28 20:34:17,2023-02-28,4.955,107.9962,5.0,108.0,10.7,317,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-01 00:00:00,2023-03-01,4.9534,108.3662,5.0,108.25,8.69,214,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-01 03:25:42,2023-03-01,4.7811,108.747,4.75,108.75,9.85,133,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-01 06:51:25,2023-03-01,4.5737,108.6994,4.5,108.75,6.31,342,Fishing,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-01 10:17:08,2023-03-01,4.2971,108.9309,4.25,109.0,13.27,122,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-01 13:42:51,2023-03-01,4.0174,109.0717,4.0,109.0,6.87,202,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-01 17:08:34,2023-03-01,3.92,108.9236,4.0,109.0,6.34,343,Fishing,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-01 20:34:17,2023-03-01,3.9297,108.7158,4.0,108.75,9.18,234,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-02 00:00:00,2023-03-02,3.9196,108.6561,4.0,108.75,6.23,37,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-02 03:25:42,2023-03-02,3.8043,108.8449,3.75,108.75,9.75,234,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-02 06:51:25,2023-03-02,3.6088,108.8698,3.5,108.75,10.38,37,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-02 10:17:08,2023-03-02,3.2749,109.0056,3.25,109.0,6.84,259,Fishing,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-02 13:42:51,2023-03-02,3.389,108.8148,3.5,108.75,3.99,67,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-02 17:08:34,2023-03-02,3.0635,108.8268,3.0,108.75,9.15,35,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-02 20:34:17,2023-03-02,2.8826,108.9865,3.0,109.0,4.35,189,Fishing,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-03 00:00:00,2023-03-03,2.8694,108.6837,2.75,108.75,6.87,80,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-03 03:25:42,2023-03-03,2.8789,108.4686,3.0,108.5,7.54,278,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-03 06:51:25,2023-03-03,3.0802,108.3244,3.0,108.25,10.59,313,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-03 10:17:08,2023-03-03,2.8542,108.4568,2.75,108.5,12.1,341,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-03 13:42:51,2023-03-03,2.3599,108.2576,2.25,108.25,9.94,339,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-03 17:08:34,2023-03-03,2.3193,108.3504,2.25,108.25,6.99,68,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-03 20:34:17,2023-03-03,2.3366,108.3115,2.25,108.25,11.42,59,Underway,0,0
VSL_0001,595822412,VESSEL_2412,VNM,Reefer,86,1688,2023-03-04 00:00:00,2023-03-04,2.3875,108.3959,2.5,108.5,7.47,283,Underway,0,0
