lat_grid,lon_grid,country_code,eez_name,zone_type,dist_to_border_nm,is_disputed
0.0,95.0,IDN,Indonesia_EEZ,EEZ,31.54,0
0.0,95.25,IDN,Indonesia_EEZ,EEZ,30.14,0
0.0,95.5,IDN,Indonesia_EEZ,EEZ,46.38,0
0.0,95.75,IDN,Indonesia_EEZ,EEZ,11.57,0
0.0,96.0,IDN,Indonesia_EEZ,EEZ,10.34,0
0.0,96.25,IDN,Indonesia_EEZ,EEZ,5.81,0
0.0,96.5,IDN,Indonesia_EEZ,EEZ,6.3,0
0.0,96.75,IDN,Indonesia_EEZ,EEZ,40.26,0
0.0,97.0,IDN,Indonesia_EEZ,EEZ,40.52,0
0.0,97.25,IDN,Indonesia_EEZ,EEZ,4.19,0
0.0,97.5,IDN,Indonesia_EEZ,EEZ,36.26,0
0.0,97.75,IDN,Indonesia_EEZ,EEZ,43.02,0
0.0,98.0,IDN,Indonesia_EEZ,EEZ,15.86,0
0.0,98.25,IDN,Indonesia_EEZ,EEZ,13.13,0
0.0,98.5,IDN,Indonesia_EEZ,EEZ,33.49,0
0.0,98.75,IDN,Indonesia_EEZ,EEZ,19.29,0
0.0,99.0,IDN,Indonesia_EEZ,EEZ,19.72,0
0.0,99.25,IDN,Indonesia_EEZ,EEZ,41.49,0
0.0,99.5,IDN,Indonesia_EEZ,EEZ,6.01,0
0.0,99.75,IDN,Indonesia_EEZ,EEZ,10.47,0
0.0,100.0,IDN,Indonesia_EEZ,EEZ,34.88,0
0.0,100.25,IDN,Indonesia_EEZ,EEZ,19.17,0
0.0,100.5,IDN,Indonesia_EEZ,EEZ,9.33,0
0.0,100.75,IDN,Indonesia_EEZ,EEZ,17.06,0
0.0,101.0,IDN,Indonesia_EEZ,EEZ,29.83,0
0.0,101.25,IDN,Indonesia_EEZ,EEZ,47.74,0
0.0,101.5,IDN,Indonesia_EEZ,EEZ,13.26,0
0.0,101.75,IDN,Indonesia_EEZ,EEZ,38.27,0
0.0,102.0,IDN,Indonesia_EEZ,EEZ,0.61,0
0.0,102.25,IDN,Indonesia_EEZ,EEZ,42.06,0
0.0,102.5,IDN,Indonesia_EEZ,EEZ,14.93,0
0.0,102.75,IDN,Indonesia_EEZ,EEZ,36.53,0
0.0,103.0,IDN,Indonesia_EEZ,EEZ,34.93,0
0.0,103.25,IDN,Indonesia_EEZ,EEZ,0.96,0
0.0,103.5,IDN,Indonesia_EEZ,EEZ,36.07,0
0.0,103.75,IDN,Indonesia_EEZ,EEZ,27.88,0
0.0,104.0,IDN,Indonesia_EEZ,EEZ,30.0,0
0.0,104.25,IDN,Indonesia_EEZ,EEZ,14.43,0
0.0,104.5,IDN,Indonesia_EEZ,EEZ,46.73,0
0.0,104.75,IDN,Indonesia_EEZ,EEZ,18.93,0
0.0,105.0,IDN,Indonesia_EEZ,EEZ,31.14,0
0.0,105.25,IDN,Indonesia_EEZ,EEZ,21.57,0
0.0,105.5,IDN,Indonesia_EEZ,EEZ,3.55,0
0.0,105.75,IDN,Indonesia_EEZ,EEZ,24.24,0
0.0,106.0,IDN,Indonesia_EEZ,EEZ,26.03,0
0.0,106.25,IDN,Indonesia_EEZ,EEZ,46.11,0
0.0,106.5,IDN,Indonesia_EEZ,EEZ,42.59,0
0.0,106.75,IDN,Indonesia_EEZ,EEZ,9.85,0
0.0,107.0,IDN,Indonesia_EEZ,EEZ,12.16,0
0.0,107.25,IDN,Indonesia_EEZ,EEZ,48.05,0
0.0,107.5,IDN,Indonesia_EEZ,EEZ,12.61,0
0.0,107.75,IDN,Indonesia_EEZ,EEZ,21.72,0
0.0,108.0,IDN,Indonesia_EEZ,EEZ,31.28,0
0.0,108.25,IDN,Indonesia_EEZ,EEZ,3.62,0
0.0,108.5,IDN,Indonesia_EEZ,EEZ,22.43,0
0.0,108.75,IDN,Indonesia_EEZ,EEZ,6.0,0
0.0,109.0,IDN,Indonesia_EEZ,EEZ,1.95,0
0.0,109.25,IDN,Indonesia_EEZ,EEZ,0.66,0
0.0,109.5,IDN,Indonesia_EEZ,EEZ,33.33,0
0.0,109.75,IDN,Indonesia_EEZ,EEZ,19.63,0
0.0,110.0,IDN,Indonesia_EEZ,EEZ,27.0,0
0.0,110.25,IDN,Indonesia_EEZ,EEZ,17.14,0
0.0,110.5,IDN,Indonesia_EEZ,EEZ,16.73,0
0.0,110.75,IDN,Indonesia_EEZ,EEZ,25.78,0
0.0,111.0,IDN,Indonesia_EEZ,EEZ,12.32,0
0.0,111.25,IDN,Indonesia_EEZ,EEZ,21.58,0
0.0,111.5,IDN,Indonesia_EEZ,EEZ,37.43,0
0.0,111.75,IDN,Indonesia_EEZ,EEZ,45.49,0
0.0,112.0,IDN,Indonesia_EEZ,EEZ,43.0,0
0.0,112.25,IDN,Indonesia_EEZ,EEZ,19.1,0
0.0,112.5,IDN,Indonesia_EEZ,EEZ,7.47,0
0.0,112.75,IDN,Indonesia_EEZ,EEZ,44.65,0
0.0,113.0,IDN,Indonesia_EEZ,EEZ,34.15,0
0.0,113.25,IDN,Indonesia_EEZ,EEZ,38.48,0
0.0,113.5,IDN,Indonesia_EEZ,EEZ,24.58,0
0.0,113.75,IDN,Indonesia_EEZ,EEZ,0.61,0
0.0,114.0,IDN,Indonesia_EEZ,EEZ,17.23,0
0.0,114.25,IDN,Indonesia_EEZ,EEZ,24.22,0
0.0,114.5,IDN,Indonesia_EEZ,EEZ,10.68,0
0.0,114.75,IDN,Indonesia_EEZ,EEZ,35.27,0
0.0,115.0,IDN,Indonesia_EEZ,EEZ,30.02,0
0.0,115.25,IDN,Indonesia_EEZ,EEZ,24.32,0
0.0,115.5,IDN,Indonesia_EEZ,EEZ,6.8,0
0.0,115.75,IDN,Indonesia_EEZ,EEZ,12.88,0
0.0,116.0,IDN,Indonesia_EEZ,EEZ,34.3,0
0.0,116.25,IDN,Indonesia_EEZ,EEZ,26.68,0
0.0,116.5,IDN,Indonesia_EEZ,EEZ,19.63,0
0.0,116.75,IDN,Indonesia_EEZ,EEZ,39.85,0
0.0,117.0,IDN,Indonesia_EEZ,EEZ,19.64,0
0.0,117.25,IDN,Indonesia_EEZ,EEZ,20.49,0
0.0,117.5,IDN,Indonesia_EEZ,EEZ,10.09,0
0.0,117.75,IDN,Indonesia_EEZ,EEZ,45.68,0
0.0,118.0,IDN,Indonesia_EEZ,EEZ,11.08,0
0.0,118.25,IDN,Indonesia_EEZ,EEZ,30.29,0
0.0,118.5,IDN,Indonesia_EEZ,EEZ,20.52,0
0.0,118.75,IDN,Indonesia_EEZ,EEZ,9.34,0
0.0,119.0,IDN,Indonesia_EEZ,EEZ,26.19,0
0.0,119.25,IDN,Indonesia_EEZ,EEZ,12.73,0
0.0,119.5,IDN,Indonesia_EEZ,EEZ,27.47,0
0.0,119.75,IDN,Indonesia_EEZ,EEZ,23.21,0
0.0,120.0,IDN,Indonesia_EEZ,EEZ,15.73,0
0.0,120.25,IDN,Indonesia_EEZ,EEZ,1.64,0
0.0,120.5,IDN,Indonesia_EEZ,EEZ,33.6,0
0.0,120.75,IDN,Indonesia_EEZ,EEZ,9.49,0
0.0,121.0,IDN,Indonesia_EEZ,EEZ,14.72,0
0.0,121.25,IDN,Indonesia_EEZ,EEZ,42.46,0
0.0,121.5,IDN,Indonesia_EEZ,EEZ,18.25,0
0.0,121.75,IDN,Indonesia_EEZ,EEZ,41.33,0
0.0,122.0,IDN,Indonesia_EEZ,EEZ,37.25,0
0.25,95.0,IDN,Indonesia_EEZ,EEZ,44.83,0
0.25,95.25,IDN,Indonesia_EEZ,EEZ,11.75,0
0.25,95.5,IDN,Indonesia_EEZ,EEZ,13.35,0
0.25,95.75,IDN,Indonesia_EEZ,EEZ,45.0,0
0.25,96.0,IDN,Indonesia_EEZ,EEZ,49.29,0
0.25,96.25,IDN,Indonesia_EEZ,EEZ,25.83,0
0.25,96.5,IDN,Indonesia_EEZ,EEZ,37.39,0
0.25,96.75,IDN,Indonesia_EEZ,EEZ,7.88,0
